N,Q,P,V,reliability,risk,ignore,follow,bayes,follow_regret
10,40,150,220,0.3,0.030211480362537766,82.43202416918429,72.88368580060423,82.43202416918429,9.548338368580062
10,40,150,220,0.5,0.030211480362537766,82.43202416918429,76.21601208459214,82.43202416918429,6.216012084592151
10,40,150,220,0.6,0.030211480362537766,82.43202416918429,77.8821752265861,82.43202416918429,4.549848942598189
10,40,150,220,0.8,0.030211480362537766,82.43202416918429,81.21450151057401,82.43202416918429,1.217522658610278
10,40,150,220,1.0,0.030211480362537766,82.43202416918429,84.54682779456193,84.54682779456193,0.0
50,40,150,220,0.3,0.1347708894878706,73.544474393531,67.28975741239893,76.25471698113208,8.96495956873315
50,40,150,220,0.5,0.1347708894878706,73.54447439353099,71.7722371967655,73.54447439353099,1.772237196765488
50,40,150,220,0.6,0.1347708894878706,73.544474393531,74.01347708894879,74.01347708894879,0.0
50,40,150,220,0.8,0.1347708894878706,73.544474393531,78.49595687331536,78.49595687331536,0.0
50,40,150,220,1.0,0.1347708894878706,73.54447439353099,82.97843665768193,82.97843665768193,0.0
100,40,150,220,0.3,0.2375296912114014,70.0,61.79216152019002,73.01781472684084,11.225653206650819
100,40,150,220,0.5,0.2375296912114014,70.0,67.40498812351544,70.0,2.5950118764845627
100,40,150,220,0.6,0.2375296912114014,70.0,70.21140142517814,70.21140142517814,0.0
100,40,150,220,0.8,0.2375296912114014,70.0,75.82422802850357,75.82422802850357,0.0
100,40,150,220,1.0,0.2375296912114014,70.0,81.43705463182897,81.43705463182897,0.0
500,40,150,220,0.3,0.6090133982947625,70.0,41.91778319123021,70.0,28.082216808769793
500,40,150,220,0.5,0.6090133982947625,70.0,51.6169305724726,70.0,18.383069427527403
500,40,150,220,0.6,0.6090133982947625,70.0,56.46650426309378,70.0,13.533495736906218
500,40,150,220,0.8,0.6090133982947625,70.0,66.16565164433618,70.0,3.8343483556638205
500,40,150,220,1.0,0.6090133982947625,70.0,75.86479902557856,75.86479902557856,0.0
900,40,150,220,0.3,0.7371007371007371,70.0,35.065110565110565,70.0,34.934889434889435
900,40,150,220,0.5,0.7371007371007371,70.0,46.17321867321867,70.0,23.82678132678133
900,40,150,220,0.6,0.7371007371007371,70.0,51.72727272727273,70.0,18.272727272727273
900,40,150,220,0.8,0.7371007371007371,70.0,62.83538083538083,70.0,7.164619164619168
900,40,150,220,1.0,0.7371007371007371,70.0,73.94348894348894,73.94348894348894,0.0
