k,N,r,risk,ignore,follow,bayes,follow_regret,ignore_regret
4,10,0.3,0.05847953216374269,80.02923976608187,71.37134502923976,80.02923976608187,8.65789473684211,0.0
4,10,0.5,0.05847953216374269,80.02923976608187,75.01461988304094,80.02923976608187,5.014619883040936,0.0
4,10,0.6,0.05847953216374269,80.02923976608187,76.83625730994152,80.02923976608187,3.1929824561403564,0.0
4,10,0.8,0.05847953216374269,80.02923976608187,80.47953216374269,80.47953216374269,0.0,0.4502923976608173
4,10,1.0,0.05847953216374269,80.02923976608187,84.12280701754386,84.12280701754386,0.0,4.093567251461991
4,50,0.3,0.23696682464454977,70.0,61.82227488151658,73.03554502369667,11.213270142180093,3.0355450236966703
4,50,0.5,0.23696682464454977,70.0,67.42890995260663,70.0,2.571090047393369,0.0
4,50,0.6,0.23696682464454977,70.0,70.23222748815166,70.23222748815166,0.0,0.23222748815166483
4,50,0.8,0.23696682464454977,70.0,75.83886255924172,75.83886255924172,0.0,5.8388625592417185
4,50,1.0,0.23696682464454977,70.0,81.44549763033176,81.44549763033176,0.0,11.445497630331758
4,100,0.3,0.3831417624521073,70.0,54.001915708812255,70.0,15.998084291187745,0.0
4,100,0.5,0.3831417624521073,70.0,61.21647509578544,70.0,8.78352490421456,0.0
4,100,0.6,0.3831417624521073,70.0,64.82375478927203,70.0,5.17624521072797,0.0
4,100,0.8,0.3831417624521073,70.0,72.03831417624521,72.03831417624521,0.0,2.0383141762452084
4,100,1.0,0.3831417624521073,70.0,79.2528735632184,79.2528735632184,0.0,9.252873563218401
4,500,0.3,0.75642965204236,69.99999999999999,34.031013615733734,69.99999999999999,35.96898638426625,0.0
4,500,0.5,0.75642965204236,70.0,45.3517397881997,70.0,24.6482602118003,0.0
4,500,0.6,0.75642965204236,70.0,51.01210287443268,70.0,18.987897125567322,0.0
4,500,0.8,0.75642965204236,70.0,62.33282904689865,70.0,7.667170953101348,0.0
4,500,1.0,0.75642965204236,70.0,73.6535552193646,73.6535552193646,0.0,3.6535552193646055
4,900,0.3,0.8482563619227145,69.99999999999999,29.118284637134774,69.99999999999999,40.88171536286521,0.0
4,900,0.5,0.8482563619227145,70.0,41.449104618284636,70.0,28.550895381715364,0.0
4,900,0.6,0.8482563619227145,70.0,47.61451460885956,70.0,22.385485391140442,0.0
4,900,0.8,0.8482563619227145,70.0,59.94533459000942,70.0,10.054665409990577,0.0
4,900,1.0,0.8482563619227145,70.0,72.27615457115928,72.27615457115928,0.0,2.2761545711592817
8,10,0.3,0.030211480362537766,82.43202416918429,72.88368580060423,82.43202416918429,9.548338368580062,0.0
8,10,0.5,0.030211480362537766,82.43202416918429,76.21601208459214,82.43202416918429,6.216012084592151,0.0
8,10,0.6,0.030211480362537766,82.43202416918429,77.8821752265861,82.43202416918429,4.549848942598189,0.0
